OBJECTID,ID,BLDGID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
429,257842,13987,41,196.76,2,181.35,15.41,Flat,3326.335,16.15,0,59.07,181.36,65.89,51.86,0.43,34.9948915496,70.7597662891
430,257845,13255,42,246.46,24,181.16,65.3,Pitched,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,43.2236995139,76.4303242923
431,257847,15943,42,281.02,41,181.31,99.71,Pitched,4625.997,95.41,-0.76,163.16,182.62,105.82,47.05,0.76,36.4259037081,82.6659101232
432,257850,12593,41,260.4,10,180.95,79.45,Flat,5374.906,56.73,0,99.04,181.04,99.17,56.5,0.02,39.2274000011,90.2385056051
433,257851,14713,41,222.44,8,180.7,41.74,Flat,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,40.2891722929,96.7605120457
434,257880,14713,999,222.33,19,180.72,41.6,Complex,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,34.2696062175,71.8263853937
435,257960,16941,41,264.15,4,185.7,78.44,Flat,3324.389,20.63,-5.2,78.76,185.51,94.64,40.78,0.76,27.3741999995,46.5771782984
436,257962,14004,41,264.94,7,180.9,84.04,Flat,2199.728,75.17,0.33,85.11,180.91,50.76,43.33,0,28.0805999991,49.1690380973
437,257965,13255,999,255.61,26,181.14,74.47,Complex,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,31.7077897269,62.5453774217
438,257969,16395,41,255.05,6,184.64,70.41,Flat,500.639,58.1,-5.24,72.06,184.75,32.26,15.52,0.76,34.1097037194,72.4496423408
439,257974,15879,41,247.32,6,181.89,65.43,Flat,1493.594,69.38,4.85,80.79,182.29,41.61,35.9,0,37.2248000018,86.2447581989
440,257978,14933,41,195.08,4,180.91,14.17,Flat,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,44.5289164156,101.289261915
441,258104,12571,42,265.49,25,181.07,84.42,Pitched,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,53.4768000022,92.9245026448
442,258123,15879,42,262.03,21,182.15,79.88,Pitched,1493.594,69.38,4.85,80.79,182.29,41.61,35.9,0,43.9966000002,106.97911092
443,258435,13255,41,262.58,4,181.29,81.29,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,34.976973839,76.4571510117
444,258441,15879,41,247.33,3,182.55,64.78,Flat,1493.594,69.38,4.85,80.79,182.29,41.61,35.9,0,37.5362000018,87.4988689884
445,258444,14004,999,265.58,17,180.9,84.68,Complex,2199.728,75.17,0.33,85.11,180.91,50.76,43.33,0,46.8171999995,96.6198640449
446,258727,15886,42,211.34,32,182.64,28.7,Pitched,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,27.1684891977,35.2041742311
447,258731,14705,41,234.24,3,181,53.25,Flat,7036.69,66.31,-2.34,141.18,181.01,120.17,94.5,0,29.4653999992,51.2193086977
448,258732,14933,42,193.3,47,180.94,12.36,Pitched,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,38.4678399188,53.1335639022
449,258734,13767,41,192.17,14,180.93,11.24,Flat,670.686,8.74,0.41,11.24,181.07,30.11,24.16,0.51,30.3217379968,57.2311666005
450,259003,13987,999,193.97,15,181.25,12.72,Complex,3326.335,16.15,0,59.07,181.36,65.89,51.86,0.43,161.569944263,1507.62660119
451,259004,14705,41,225.91,4,180.95,44.96,Flat,7036.69,66.31,-2.34,141.18,181.01,120.17,94.5,0,184.799999999,1943.77296855
452,259359,13175,41,199.28,1,177,22.28,Flat,3850.654,19.85,-0.04,31.46,180.43,111.21,42.09,-2.21,136.628408082,1144.99190818
453,259387,14037,41,235.55,13,180.63,54.92,Flat,5567.383,51.18,0.18,89.21,180.78,100.15,61.17,0.62,172.093817993,1677.43436913
454,259423,14669,41,192.03,14,181.5,10.53,Flat,2725.825,35.44,0,91.02,181.59,68.94,51.43,0,162.845000001,1542.52284985
455,259436,12571,41,262.09,12,181,81.09,Flat,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,59.183199998,172.931763217
456,259496,16526,42,276.25,48,185.67,90.58,Pitched,856.256,77.78,-0.71,95.1,185.73,42,20.39,0.76,45.6244705333,129.51513003
457,259498,15966,42,192.37,26,181.66,10.71,Pitched,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,59.6184000038,138.70435711
458,259501,13255,41,246.52,4,181.23,65.29,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,56.3517539934,145.246290404
459,259503,13263,41,265.58,2,181.02,84.56,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,57.0802000035,152.8209533
460,259512,15983,42,241.99,54,180.42,61.57,Pitched,2294.889,68.83,4.63,91.83,181.09,48.9,46.93,0.51,44.1502376111,111.263832727
461,259516,15886,41,214.68,7,182.09,32.59,Flat,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,53.9223405907,129.215440635
462,259522,15886,42,206.7,38,181.51,25.18,Pitched,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,50.4559366909,152.782339389
463,259564,15419,41,273.96,10,181.68,92.28,Flat,2618.492,54.6,0,94.63,181.68,59.34,44.13,0.76,50.2308153716,122.496362351
464,259565,13263,41,251.55,13,180.99,70.56,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,49.0315431247,139.413392827
465,259566,13200,42,254.74,36,181.01,73.73,Pitched,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,49.137000002,140.702120256
466,259567,15886,41,196.78,6,183.01,13.77,Flat,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,50.7742657191,146.339180417
467,259569,13227,41,268.95,8,181.11,87.84,Flat,1440.034,56.09,-0.15,89.23,181.14,56.73,25.65,0.51,52.7974777792,164.62300158
468,259572,14933,41,192.81,3,180.88,11.93,Flat,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,72.0648928292,181.219694914
469,259578,14933,41,192.84,3,180.74,12.1,Flat,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,75.1981405609,201.905571329
470,259581,13255,41,250.86,16,181.13,69.73,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,69.8551431035,222.91893425
471,259645,13255,42,254.98,26,181.2,73.78,Pitched,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,58.8302000016,154.166396452
472,259654,15966,42,192.37,23,180.75,11.62,Pitched,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,59.7218000013,216.880259648
473,259666,13263,999,204.92,16,181,23.92,Complex,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,60.8178000022,212.250624759
474,259668,13255,42,250.89,26,181.05,69.84,Pitched,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,60.7127999999,221.725332991
475,259669,14669,42,270.38,43,181.31,89.07,Pitched,2725.825,35.44,0,91.02,181.59,68.94,51.43,0,63.3885999974,233.319120805
476,259863,13263,41,248.54,15,180.98,67.56,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,69.6970298078,155.392825083
477,259867,15943,42,340.63,42,182.35,158.28,Pitched,4625.997,95.41,-0.76,163.16,182.62,105.82,47.05,0.76,46.2127379253,169.515386519
478,259874,15983,999,251.26,22,179.42,71.84,Complex,2294.889,68.83,4.63,91.83,181.09,48.9,46.93,0.51,82.7621575724,214.932593513
479,259898,15886,41,214.6,6,181.75,32.85,Flat,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,52.2384929204,138.001350422
480,260011,14037,41,250.76,2,180.75,70.01,Flat,5567.383,51.18,0.18,89.21,180.78,100.15,61.17,0.62,56.0745999962,196.076924794
481,260531,15966,42,385.02,25,182.01,203.01,Pitched,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,199.528620876,1952.87568119
482,260599,15719,41,285.84,1,183.57,102.27,Flat,6121.456,110.09,-1.06,171.74,185.48,94.34,82.17,0.76,250.755949539,3380.8360359
483,260986,15719,41,352.08,4,184,168.08,Flat,6121.456,110.09,-1.06,171.74,185.48,94.34,82.17,0.76,199.30599385,2195.91532125
484,260987,14713,41,214.32,4,180.61,33.71,Flat,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,211.542027093,2612.69332761
485,261071,12571,41,185.21,7,180.88,4.33,Flat,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,92.7918000016,413.075330321
486,261122,16526,41,270.21,13,184.66,85.55,Flat,856.256,77.78,-0.71,95.1,185.73,42,20.39,0.76,124.713926199,437.929841567
487,261659,14713,42,208.79,20,180.78,28.01,Pitched,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,20.0265999995,22.9746158992
488,262078,13255,41,258.84,5,181.12,77.72,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,31.9983132504,63.0640902365
489,262080,13255,999,231.58,19,181.07,50.51,Complex,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,36.0928746379,67.0407628619
490,262083,13255,41,258.77,6,181.11,77.67,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,34.1517031813,72.6249230179
491,262084,13255,41,246.52,9,181.26,65.26,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,36.2957926048,74.6126140258
492,263076,13255,41,263.38,5,181.12,82.26,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,72.1347431549,242.355861805
493,263080,14933,41,192.79,3,180.8,11.99,Flat,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,102.949833868,274.532364035
494,263083,13200,41,247.58,4,181.02,66.56,Flat,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,82.0620004037,310.222239575
495,263105,13255,42,229.83,19,181.14,48.7,Pitched,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,64.9487999994,251.187175794
496,263108,14697,41,227.26,2,180.9,46.36,Flat,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,68.0232000016,273.827697492
497,263126,12593,42,198.44,30,181.02,17.42,Pitched,5374.906,56.73,0,99.04,181.04,99.17,56.5,0.02,63.2055999991,248.019625912
498,263132,13200,41,247.59,4,180.97,66.62,Flat,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,84.2739758291,302.64054102
499,263133,13255,41,251.13,7,181.14,69.99,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,105.288958993,313.181374159
500,263145,14597,41,305.11,3,183.3,121.81,Flat,1836.92,106.41,0,122.89,183.42,84.67,21.7,0.76,81.7748000007,245.408763614
501,263189,14697,41,197.87,2,180.84,17.03,Flat,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,74.7161999997,285.646360576
502,263200,14037,41,265.05,11,180.7,84.35,Flat,5567.383,51.18,0.18,89.21,180.78,100.15,61.17,0.62,127.030956349,386.901674837
503,263203,16953,42,202.31,32,184.29,18.02,Pitched,3216.226,44.16,-5.1,153.98,185.18,99.35,45.62,-35.39,102.897130925,426.449080069
504,263235,13255,41,256.85,2,181.2,75.65,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,45.8184288806,124.839413908
505,263240,13255,41,259.08,2,181.14,77.94,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,49.6635644547,137.854485942
506,263243,15966,999,191.65,15,180.92,10.73,Complex,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,71.6643999983,153.078549064
507,263248,12571,999,269.28,17,181.11,88.17,Complex,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,56.6220000014,178.911638028
508,263254,15419,999,270.49,17,181.57,88.92,Complex,2618.492,54.6,0,94.63,181.68,59.34,44.13,0.76,96.052145326,202.170828429
509,263255,12593,41,271.76,5,180.92,90.84,Flat,5374.906,56.73,0,99.04,181.04,99.17,56.5,0.02,85.3372000009,338.394021426
510,263256,15886,41,266.23,8,183.57,82.66,Flat,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,115.141770665,356.768663256
511,263359,16526,42,266.82,29,184.85,81.97,Pitched,856.256,77.78,-0.71,95.1,185.73,42,20.39,0.76,128.492499275,288.810748325
512,263360,14933,41,192.84,3,180.89,11.95,Flat,1205.673,11.85,0.8,15.08,180.95,92.65,15.89,0.72,102.949935117,291.96448756
513,263361,14713,42,233.99,34,180.76,53.23,Pitched,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,95.752121314,302.868517161
514,263362,15897,41,238.27,10,182.51,55.76,Flat,2582.446,55.85,-0.09,96.78,183.11,59.4,44.38,0.69,95.6376333815,311.721670048
515,263379,14713,42,229.86,26,180.8,49.06,Pitched,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,85.2654960706,348.888123764
516,263381,15943,41,195.96,2,181.43,14.53,Flat,4625.997,95.41,-0.76,163.16,182.62,105.82,47.05,0.76,75.1255033967,352.730670192
517,263411,14697,41,207.74,2,180.93,26.81,Flat,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,82.7769999988,377.549750746
518,263414,12571,41,208.96,5,180.87,28.1,Flat,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,91.1292000022,429.554836812
519,263455,13263,41,198.51,5,181,17.51,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,94.555629804,278.710264423
520,263457,12571,41,199.46,6,181.02,18.44,Flat,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,78.7488000039,315.123187617
521,263461,14004,41,253.42,14,180.9,72.52,Flat,2199.728,75.17,0.33,85.11,180.91,50.76,43.33,0,74.9077999983,345.219077565
522,263462,13255,41,252.8,2,181.2,71.6,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,86.1442739627,366.11237997
523,263464,14037,41,243.37,12,180.85,62.52,Flat,5567.383,51.18,0.18,89.21,180.78,100.15,61.17,0.62,91.523973531,426.010047492
524,264202,13255,41,252.35,7,181.2,71.15,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,118.322504543,451.648258546
525,264221,15943,41,342.06,2,181.23,160.83,Flat,4625.997,95.41,-0.76,163.16,182.62,105.82,47.05,0.76,161.35334775,1605.44510628
526,264243,14697,41,235.06,2,180.78,54.28,Flat,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,98.3677000015,591.325403032
527,264245,12571,41,205.44,2,180.83,24.61,Flat,4665.059,65.67,0,152.43,181.04,92.49,54.83,0,111.527999999,651.133507575
528,264252,14697,41,211.43,2,180.91,30.52,Flat,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,120.581799999,905.184178065
529,264262,13255,41,249.28,4,181.03,68.25,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,117.583938198,572.39926426
530,264263,14697,999,194.89,20,180.83,14.06,Complex,11196.57,49.88,-0.01,225.87,180.97,119,100.99,-0.06,96.2701999992,572.66696847
531,264265,13987,41,196.63,14,181.22,15.41,Flat,3326.335,16.15,0,59.07,181.36,65.89,51.86,0.43,125.062627936,608.95449191
532,264268,13255,42,248.47,23,181.08,67.39,Pitched,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,123.08872358,751.504288443
533,264272,13263,41,258.36,4,180.95,77.41,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,179.070000004,930.531628963
534,264300,13200,42,190.34,29,181.02,9.32,Pitched,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,95.868600334,483.41566896
535,264305,13263,41,209.22,2,180.89,28.33,Flat,4922.974,44.73,0,85.54,181.02,92.49,61.15,0,107.7709729,628.10603325
536,264323,15886,999,201.83,21,182.07,19.76,Complex,3792.293,42.59,0.09,154,182.99,95.86,39.56,0.76,96.1586531985,548.493209542
537,264327,15966,41,199.47,2,181.2,18.27,Flat,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,96.6109999977,578.713677731
538,264373,13987,41,192.57,8,181.25,11.32,Flat,3326.335,16.15,0,59.07,181.36,65.89,51.86,0.43,127.578272377,580.515197972
539,264375,15897,41,234.68,5,182.06,52.62,Flat,2582.446,55.85,-0.09,96.78,183.11,59.4,44.38,0.69,170.466751793,697.586559348
540,264381,14713,41,227.84,11,180.74,47.1,Flat,5655.257,34.36,-0.01,58.87,180.77,98.95,57.15,0.76,237.957524428,962.92366751
541,264417,17163,41,198.96,3,186.01,12.95,Flat,1671.932,68.68,-7.42,121.79,186.89,86.02,19.78,0.76,88.6496939416,485.499735228
542,264472,13200,41,187.5,2,181.03,6.47,Flat,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,102.72835742,566.345200582
543,264473,13200,41,187.59,1,181,6.59,Flat,10820.215,51.61,0,74.96,181.02,112.66,96.04,0,103.150363057,588.999329354
544,264474,15966,42,380.21,35,181.87,198.34,Pitched,19486.426,84.38,-0.65,204.29,181.68,338.58,97.94,0.17,130.570420879,597.484696304
545,264996,15983,41,254.32,11,179.96,74.36,Flat,2294.889,68.83,4.63,91.83,181.09,48.9,46.93,0.51,84.3223177165,242.463441835
546,265027,15943,41,188.62,10,182.2,6.42,Flat,4625.997,95.41,-0.76,163.16,182.62,105.82,47.05,0.76,66.4687450202,270.908510937
547,265031,13255,41,251.26,2,181.3,69.95,Flat,12694.893,62.17,-0.17,84.32,181.2,127.51,105.3,0.76,73.1835326192,303.232001068
548,265036,15419,42,264.37,22,181.32,83.05,Pitched,2618.492,54.6,0,94.63,181.68,59.34,44.13,0.76,140.074416519,354.93479998
549,269459,13767,41,189.62,1,180.91,8.71,Flat,670.686,8.74,0.41,11.24,181.07,30.11,24.16,0.51,124.828255164,613.454618856
550,275336,13175,41,209.13,6,178.06,31.07,Flat,3850.654,19.85,-0.04,31.46,180.43,111.21,42.09,-2.21,60.3022000026,200.524175399
551,280401,12604,41,281.78,3,181.62,100.16,Flat,2552.451,87.59,-0.98,101.32,181.95,56.99,44.79,0.51,65.058600001,258.103739069
552,319218,9182,42,239.86,23,181.03,58.83,Pitched,5144.733,120.41,-0.01,210.62,181.71,98.5,54.7,0.42,84.6892885765,448.09194785
553,319219,8403,41,309.98,2,182.5,127.48,Flat,1808.612,117.64,0,140,182.83,59.32,34.04,0.42,86.7522739988,379.759943674
554,319220,8330,42,232.54,28,181.21,51.33,Pitched,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,21.2235748038,27.3338911806
555,319221,8330,41,190.59,5,181.32,9.27,Flat,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,59.6556123586,216.741921385
556,319222,9193,41,335.82,8,181,154.82,Flat,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,28.2651638638,49.7849270823
557,319223,9193,42,245.46,28,180.81,64.65,Pitched,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,93.001513877,509.076557378
558,319224,6213,41,191.4,1,178.2,13.2,Flat,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,53.8768651574,106.720276687
559,319225,4958,41,369.25,10,182.01,187.24,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,51.946675932,122.006782111
560,319226,4958,41,194.67,6,182.56,12.11,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,98.857169759,290.508998939
561,320850,9182,42,243.81,42,180.91,62.9,Pitched,5144.733,120.41,-0.01,210.62,181.71,98.5,54.7,0.42,39.7124735327,90.4363265253
562,320851,8403,41,304.48,2,182,122.48,Flat,1808.612,117.64,0,140,182.83,59.32,34.04,0.42,207.889051348,1010.16916431
563,320852,8403,999,320.61,27,182.1,138.51,Complex,1808.612,117.64,0,140,182.83,59.32,34.04,0.42,89.2467705293,418.682515748
564,320853,9208,41,226.82,3,181.01,45.81,Flat,1044.975,41.32,5.3,47.25,181.09,37.73,27.69,0.42,26.5015159515,43.8087938017
565,320854,9208,42,227.46,45,180.99,46.47,Pitched,1044.975,41.32,5.3,47.25,181.09,37.73,27.69,0.42,31.4266489904,55.7238276621
566,320855,7043,42,199.79,27,182.51,17.28,Pitched,6144.805,166.18,-10,489.12,181.57,98.87,70.41,0.7,113.043348106,578.756331577
567,320856,6213,41,238.52,13,177.99,60.53,Flat,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,26.3036641092,42.2429401966
568,320857,6213,42,236.29,19,177.98,58.31,Pitched,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,26.8080000002,42.106151752
569,320858,4958,41,441.69,2,180.93,260.76,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,54.0066434405,186.040387511
570,322919,8495,41,187.43,11,183.54,3.89,Flat,69.929,3.41,0.17,4.09,183.61,8.51,8.22,-0.21,33.4547177364,69.929221999
571,322920,9182,41,243.23,10,181.02,62.21,Flat,5144.733,120.41,-0.01,210.62,181.71,98.5,54.7,0.42,56.8649377995,159.363375567
572,322921,9182,999,387.13,23,181.77,205.35,Complex,5144.733,120.41,-0.01,210.62,181.71,98.5,54.7,0.42,80.9792896033,408.115286917
573,322922,8330,42,232.26,33,180.85,51.41,Pitched,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,33.1025602766,57.6020912562
574,322923,9193,41,446.2,1,181,265.2,Flat,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,59.4436063256,199.259922536
575,322924,6213,999,232.57,21,178.1,54.47,Complex,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,64.7860012918,138.658228037
576,322925,4958,42,198.17,20,180.52,17.65,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,29.1736000031,39.1941130161
577,322926,4958,42,198.07,43,182.05,16.02,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,30.3641999979,48.9660280893
578,322927,4958,42,458.83,44,181.5,277.33,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,44.961346406,111.8087752
579,322928,4958,41,384.53,1,180.89,203.64,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,76.4295592189,312.410384225
580,322929,4958,42,369.17,52,181.19,187.98,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,55.1463572369,131.205174998
581,323163,11658,999,187.47,15,180.85,6.62,Complex,3087.778,68.51,0,155.3,180.99,63.05,58.35,-2.4,92.7965160632,190.558342233
582,323173,8330,41,253.07,7,181.5,71.57,Flat,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,146.514460671,645.070156475
583,323200,8063,41,303.5,24,182.77,120.73,Flat,1627.367,94.58,-2.03,125.98,183.29,40.58,40.11,-0.21,48.1431129918,136.178277009
584,323201,4958,41,202.48,14,182.01,20.47,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,99.2905999999,488.856735715
585,323202,4958,41,197.92,3,182.83,15.09,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,32.413731157,67.6046451675
586,323203,4958,41,441.69,11,181.28,260.41,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,57.9887113858,221.054724996
587,323930,8330,41,258.56,3,182.19,76.37,Flat,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,49.3265327567,123.882171208
588,323931,9208,42,226.14,43,181.2,44.94,Pitched,1044.975,41.32,5.3,47.25,181.09,37.73,27.69,0.42,28.4557704765,41.2602865609
589,323932,9193,42,245.3,25,181.07,64.23,Pitched,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,50.0671539116,155.042113153
590,323933,6213,42,232.98,38,178.02,54.96,Pitched,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,69.2071880582,139.240213901
591,323934,4958,41,194.41,1,182.78,11.63,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,33.551599998,64.7522836467
592,323935,4958,41,194.53,5,181.28,13.25,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,97.5907288169,278.983620299
593,324896,8330,42,216.95,26,181.26,35.69,Pitched,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,21.8831907959,29.8125545901
594,324897,7043,42,194,30,182.09,11.91,Pitched,6144.805,166.18,-10,489.12,181.57,98.87,70.41,0.7,74.1171730292,114.224694062
595,324898,6213,41,236.15,13,178,58.15,Flat,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,175.158856967,1093.46829957
596,324899,4958,42,194.44,34,182.78,11.66,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,17.6096000038,16.7628781596
597,324900,4958,42,458.14,34,181.14,277,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,38.8021696414,85.3976465644
598,325008,5100,41,305.33,11,177.78,127.55,Flat,1532.387,108.53,0,135.39,178.02,71.08,21.56,6.62,252.233468185,713.103135913
599,325011,2861,42,202.33,20,180.4,21.93,Pitched,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,34.6446000002,72.3783057213
600,325012,2861,42,202.37,23,180.81,21.56,Pitched,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,35.3669999987,76.0932838333
601,325017,126,999,191.26,16,178.9,12.36,Complex,122.961,11.66,4.89,12.82,179.06,15.65,7.86,0.71,47.0165973612,122.960570751
602,325023,46,41,185.73,6,180.75,4.98,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,119.6094359,489.030093159
603,325024,46,41,197.06,8,181,16.06,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,25.5783999972,40.1629589098
604,325051,8330,41,216.98,20,180.8,36.18,Flat,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,23.5109175957,34.3756857486
605,325052,8330,42,216.76,20,180.98,35.78,Pitched,3202.928,49.71,1.66,116.95,181.71,60.87,56.2,0.42,24.2686571946,36.6371614468
606,325053,9193,42,446.27,28,181.01,265.26,Pitched,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,64.3853389189,223.718415508
607,325054,9193,41,305.33,2,181.16,124.17,Flat,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,67.2052171009,280.557530403
608,325055,6213,41,243.66,15,178.14,65.52,Flat,1759.598,53.63,3.06,67.6,178.3,59.87,41.89,16.42,57.581445713,197.161569331
609,325056,4958,42,194.42,33,180,14.42,Pitched,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,65.6921999995,183.885828056
610,325057,4958,41,197.9,7,182.02,15.88,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,31.7748000026,63.1021416902
611,325058,4958,41,384.52,1,180.92,203.6,Flat,4229.175,129.83,0,293.38,182.11,103.48,90.9,0,76.4680517322,302.802584135
612,325123,2861,42,202.21,24,180.84,21.37,Pitched,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,35.0061999988,73.6516599976
613,325124,2861,41,202.19,13,180.6,21.59,Flat,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,35.3663999997,76.0901983086
614,325125,3353,999,205.43,20,180.89,24.54,Complex,1132.216,28.73,0,51.37,181,38.83,29.16,0.37,32.2805630623,52.541781867
615,325130,61,41,190.73,2,178.89,11.84,Flat,663.37,11.49,0.4,11.93,179.08,37.03,17.92,4.85,109.883953119,663.369544164
616,325265,2861,42,202.01,29,180.87,21.14,Pitched,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,35.7273999974,77.42555535
617,325266,2861,42,202.15,21,180.87,21.29,Pitched,2001.187,16.94,0.84,24.22,180.83,75.36,29.46,-0.08,36.0881999973,79.3135495894
