,BLDGID,MEAN_AVGHT,Lat,Lon,OBJECTID,ID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area,geometry
112,56,36.98,41.867878000000005,-87.625244,122,235559.0,41.0,214.36,12.0,180.75,33.61,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,27.0452584356,45.1294148689,"POLYGON ((-87.62480105545617 41.86906929044825, -87.62489172916706 41.86906781176931, -87.62489330573352 41.86912180084396, -87.62480263194641 41.86912327952465, -87.62480105545617 41.86906929044825))"
113,56,36.98,41.867878000000005,-87.625244,125,235562.0,42.0,287.31,31.0,180.77,106.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,32.6898511759,55.5850416862,"POLYGON ((-87.62547282204274 41.86869793333106, -87.62561159680367 41.86869566971097, -87.62561286513368 41.86873911798089, -87.62547409027886 41.86874138160314, -87.62547282204274 41.86869793333106))"
114,56,36.98,41.867878000000005,-87.625244,161,235853.0,41.0,186.0,1.0,180.57,5.43,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,38.2954451286,82.2846696372,"POLYGON ((-87.62498330647658 41.86906631819397, -87.62506175742521 41.86906503919661, -87.62506507818743 41.86917881501499, -87.62498662831351 41.86918009490962, -87.62498330647658 41.86906631819397))"
115,56,36.98,41.867878000000005,-87.625244,168,235861.0,999.0,254.95,18.0,180.83,74.12,Complex,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,51.9638880169,129.782693342,"POLYGON ((-87.62518373471941 41.8687461176619, -87.62518879144123 41.8689193136971, -87.62510750698416 41.86892063972777, -87.62510245167773 41.86874744278033, -87.62518373471941 41.8687461176619))"
116,56,36.98,41.867878000000005,-87.625244,216,237398.0,999.0,270.74,20.0,180.84,89.9,Complex,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,53.1822180485,141.50031274,"POLYGON ((-87.62518373471941 41.8687461176619, -87.62527235739407 41.8687446723652, -87.62527741435488 41.8689178683949, -87.62518879144123 41.8689193136971, -87.62518373471941 41.8687461176619))"
117,56,36.98,41.867878000000005,-87.625244,220,237446.0,42.0,277.04,34.0,180.85,96.18,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,50.1831996477,112.657964327,"POLYGON ((-87.62527235739407 41.8687446723652, -87.62534291650059 41.86874352170751, -87.62534797244679 41.86891671773942, -87.62527741435488 41.8689178683949, -87.62527235739407 41.8687446723652))"
118,56,36.98,41.867878000000005,-87.625244,279,238027.0,41.0,211.54,3.0,180.59,30.95,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,135.801144844,828.963847751,"POLYGON ((-87.62566581931968 41.86831311608801, -87.62504010705703 41.86832332243072, -87.62503591161091 41.8681796136005, -87.62566162247336 41.86816940728992, -87.62566581931968 41.86831311608801))"
119,56,36.98,41.867878000000005,-87.625244,304,238312.0,41.0,190.13,12.0,180.66,9.46,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,119.489620087,433.496674568,"POLYGON ((-87.62448477217798 41.86899831220475, -87.62498108549468 41.86899021909623, -87.62498330647658 41.86906631819397, -87.62489172916706 41.86906781176931, -87.62480105545617 41.86906929044825, -87.6243653842247 41.86907639381189, -87.62436316397506 41.86900029469737, -87.62448477217798 41.86899831220475))"
120,56,36.98,41.867878000000005,-87.625244,316,239140.0,41.0,187.33,13.0,180.78,6.55,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,153.461606186,1287.61163253,"POLYGON ((-87.62504010705703 41.86832332243072, -87.62566581931968 41.86831311608801, -87.62567233750788 41.86853633610812, -87.6250466218566 41.86854654160668, -87.62504010705703 41.86832332243072))"
121,56,36.98,41.867878000000005,-87.625244,326,239227.0,41.0,197.28,1.0,180.67,16.61,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,301.281717857,1140.98888484,"POLYGON ((-87.6250466218566 41.86854654160668, -87.62567233750788 41.86853633610812, -87.6256736837168 41.86858245357419, -87.62539869006042 41.86858693985763, -87.62540196420295 41.86869908929798, -87.62540323239114 41.86874253757119, -87.62534291650059 41.86874352170751, -87.62527235739407 41.8687446723652, -87.62518373471941 41.8687461176619, -87.62510245167773 41.86874744278033, -87.62510750698416 41.86892063972777, -87.62518879144123 41.8689193136971, -87.62527741435488 41.8689178683949, -87.62534797244679 41.86891671773942, -87.62534864527768 41.86893975981192, -87.62561394901363 41.86893543181191, -87.62561327608756 41.86891238974158, -87.62568328477806 41.86891124817767, -87.62568504877608 41.86897166258291, -87.62505933009682 41.8689818690729, -87.6250466218566 41.86854654160668))"
122,56,36.98,41.867878000000005,-87.625244,335,239378.0,41.0,186.9,2.0,180.72,6.18,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,206.178734242,1734.35964177,"POLYGON ((-87.62488911296349 41.86839520697882, -87.62492150128401 41.86832438939167, -87.62482881299785 41.86829125235109, -87.62481526549102 41.86831242452207, -87.62471731970798 41.86827740745022, -87.62459511253662 41.86846838705663, -87.62446123570922 41.86847056967571, -87.62445919832332 41.86840076352354, -87.62441643678224 41.86838167010195, -87.62440630916961 41.86803461599623, -87.62470078045159 41.86803560046409, -87.62495819759178 41.86803140244675, -87.62496663973796 41.86832065452637, -87.62496722575257 41.86834073653588, -87.62496877752312 41.86839390793233, -87.62488911296349 41.86839520697882))"
123,56,36.98,41.867878000000005,-87.625244,348,242286.0,41.0,208.65,1.0,180.64,28.01,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,146.014425938,761.094459112,"POLYGON ((-87.6243653842247 41.86907639381189, -87.62480105545617 41.86906929044825, -87.62480263194641 41.86912327952465, -87.62489330573352 41.86912180084396, -87.62489172916706 41.86906781176931, -87.62498330647658 41.86906631819397, -87.62498662831351 41.86918009490962, -87.62498743849291 41.86920784860104, -87.62436951487915 41.86921792425021, -87.6243653842247 41.86907639381189))"
124,56,36.98,41.867878000000005,-87.625244,354,242420.0,41.0,186.29,9.0,180.72,5.57,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,160.720206038,1072.9698507,"POLYGON ((-87.62450268464866 41.86865044096806, -87.62459973236494 41.86864885850745, -87.62472056583175 41.86884571442427, -87.62481834503488 41.8688121824291, -87.62482772773849 41.86882746728551, -87.62495299009522 41.86878450952941, -87.62496007826277 41.86879605642349, -87.62497541056871 41.86879580726266, -87.62498108549468 41.86899021909623, -87.62448477217798 41.86899831220475, -87.62447588954062 41.86869392386129, -87.6245039408859 41.86869346689773, -87.62450268464866 41.86865044096806))"
125,56,36.98,41.867878000000005,-87.625244,356,242422.0,41.0,183.64,1.0,180.59,3.05,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,151.724124885,1242.48886012,"POLYGON ((-87.62506507818743 41.86917881501499, -87.62506175742521 41.86906503919661, -87.62505933009682 41.8689818690729, -87.62568504877608 41.86897166258291, -87.62569133900912 41.86918705959899, -87.62506561702615 41.86919726614371, -87.62506507818743 41.86917881501499))"
126,56,36.98,41.867878000000005,-87.625244,673,329306.0,42.0,283.24,41.0,180.7,102.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,20.5016644377,26.179736102,"POLYGON ((-87.62561159680367 41.86869566971097, -87.62567695834836 41.86869460390417, -87.62567822671382 41.86873805127245, -87.62561286513368 41.86873911798089, -87.62561159680367 41.86869566971097))"
127,56,36.98,41.867878000000005,-87.625244,684,329792.0,42.0,310.85,36.0,181.31,129.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,49.3764999774,162.768077302,"POLYGON ((-87.62466204856658 41.86850331710819, -87.62469889844151 41.86850271586745, -87.62476214902615 41.86853769923233, -87.62476370986779 41.86859120023004, -87.62466718809715 41.86862142344174, -87.62459381108545 41.8686226196326, -87.62459036443141 41.86850448607526, -87.62466204856658 41.86850331710819))"
128,56,36.98,41.867878000000005,-87.625244,685,329793.0,41.0,301.81,5.0,181.0,120.81,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,54.6097227765,137.060452975,"POLYGON ((-87.62466204856658 41.86850331710819, -87.62474313974646 41.86834989615532, -87.62482807750757 41.86837497920591, -87.6247610984264 41.86850170200518, -87.62476214902615 41.86853769923233, -87.62469889844151 41.86850271586745, -87.62466204856658 41.86850331710819))"
129,56,36.98,41.867878000000005,-87.625244,997,333979.0,41.0,280.11,3.0,180.72,99.39,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,70.5645520831,284.312759807,"POLYGON ((-87.6256736837168 41.86858245357419, -87.62567695834836 41.86869460390417, -87.62561159680367 41.86869566971097, -87.62547282204274 41.86869793333106, -87.62540196420295 41.86869908929798, -87.62539869006042 41.86858693985763, -87.6256736837168 41.86858245357419))"
130,56,36.98,41.867878000000005,-87.625244,1267,335162.0,42.0,280.71,39.0,180.84,99.87,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,21.4142613579,28.381501664,"POLYGON ((-87.62540196420295 41.86869908929798, -87.62547282204274 41.86869793333106, -87.62547409027886 41.86874138160314, -87.62540323239114 41.86874253757119, -87.62540196420295 41.86869908929798))"
131,56,36.98,41.867878000000005,-87.625244,2363,365219.0,42.0,288.99,28.0,180.67,108.32,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,139.475532897,507.337847774,"POLYGON ((-87.62534797244679 41.86891671773942, -87.62534291650059 41.86874352170751, -87.62540323239114 41.86874253757119, -87.62547409027886 41.86874138160314, -87.62561286513368 41.86873911798089, -87.62567822671382 41.86873805127245, -87.62568328477806 41.86891124817767, -87.62561327608756 41.86891238974158, -87.62561394901363 41.86893543181191, -87.62534864527768 41.86893975981192, -87.62534797244679 41.86891671773942), (-87.62540681704378 41.86880074530617, -87.62540838673023 41.86885447952027, -87.62557875655637 41.86885170072001, -87.62557718792351 41.86879796560196, -87.62540681704378 41.86880074530617))"
132,56,36.98,41.867878000000005,-87.625244,2374,365234.0,41.0,299.07,5.0,180.83,118.24,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,324.228732986,1161.62305878,"POLYGON ((-87.62450268464866 41.86865044096806, -87.62447463452712 41.86865089792464, -87.62435302698206 41.86865288040217, -87.62435092262714 41.86858076256473, -87.62434776087382 41.86847241965948, -87.62446123570922 41.86847056967571, -87.62459511253662 41.86846838705663, -87.62471731970798 41.86827740745022, -87.62481526549102 41.86831242452207, -87.62482881299785 41.86829125235109, -87.62492150128401 41.86832438939167, -87.62488911296349 41.86839520697882, -87.62481435918906 41.86855865957151, -87.62495299009522 41.86878450952941, -87.62482772773849 41.86882746728551, -87.62481834503488 41.8688121824291, -87.62472056583175 41.86884571442427, -87.62459973236494 41.86864885850745, -87.62450268464866 41.86865044096806), (-87.62476370986779 41.86859120023004, -87.62476214902615 41.86853769923233, -87.6247610984264 41.86850170200518, -87.62482807750757 41.86837497920591, -87.62474313974646 41.86834989615532, -87.62466204856658 41.86850331710819, -87.62459036443141 41.86850448607526, -87.62459381108545 41.8686226196326, -87.62466718809715 41.86862142344174, -87.62467295451302 41.86863039078592, -87.62475544765836 41.86875868186657, -87.62484964367957 41.86872484148869, -87.62476370986779 41.86859120023004))"
133,57,4.88,41.869514,-87.636688,376,247539.0,41.0,183.59,5.0,178.46,5.13,Flat,54.733,4.88,1.46,5.19,178.53,8.65,6.33,28.61,29.9535495428,54.732794754,"POLYGON ((-87.63691668517332 41.86912727063219, -87.63698336743342 41.86909960295642, -87.63703394004388 41.86916769675887, -87.6369672577445 41.86919536536466, -87.63691668517332 41.86912727063219))"
134,59,3.34,41.86953,-87.63324,646,328925.0,42.0,193.79,24.0,189.87,3.92,Pitched,130.512,3.34,0.0,4.8,190.09,13.17,9.91,5.71,46.1613971644,130.51156603,"POLYGON ((-87.63264067431221 41.86919147638969, -87.63275936675151 41.86918194357964, -87.63277632532825 41.86929991504394, -87.63265763387859 41.86930944786614, -87.63264067431221 41.86919147638969))"
135,61,11.49,41.868671,-87.636658,615,325130.0,41.0,190.73,2.0,178.89,11.84,Flat,663.37,11.49,0.4,11.93,179.08,37.03,17.92,4.85,109.883953119,663.369544164,"POLYGON ((-87.63608299951748 41.8690744816937, -87.63629797325606 41.86905963831222, -87.63633901179196 41.86939169563993, -87.63612403695221 41.86940653910503, -87.63608299951748 41.8690744816937))"
136,64,3.66,41.869514,-87.636688,387,251341.0,41.0,182.67,5.0,178.7,3.97,Flat,81.653,3.66,1.35,3.99,178.81,9.73,8.39,3.6,36.243721089,81.6532706351,"POLYGON ((-87.63639050810797 41.86942952982422, -87.63650745899575 41.86942337854413, -87.63651455615172 41.8694987775602, -87.63639760632336 41.86950492794109, -87.63639050810797 41.86942952982422))"
137,68,12.7,41.869568,-87.627563,648,328927.0,41.0,184.51,2.0,180.65,3.86,Flat,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,89.8506796137,329.097045627,"POLYGON ((-87.62691019049568 41.86955769549436, -87.62714053842409 41.86955375742709, -87.62721138699536 41.86955254639605, -87.62729338964988 41.8695511446993, -87.62729700366594 41.86966924030524, -87.62703369059086 41.86967374146469, -87.6270312510415 41.86959402467377, -87.62691136440652 41.86959607432256, -87.62691019049568 41.86955769549436))"
138,68,12.7,41.869568,-87.627563,1014,334025.0,999.0,200.61,28.0,180.98,19.63,Complex,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,24.3760511998,37.0916864685,"POLYGON ((-87.62721138699536 41.86955254639605, -87.62714053842409 41.86955375742709, -87.62713880124466 41.86949696904872, -87.62720964854832 41.86949575802576, -87.62721138699536 41.86955254639605))"
139,68,12.7,41.869568,-87.627563,1015,334026.0,41.0,196.88,3.0,180.51,16.37,Flat,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,158.003329598,955.421409675,"POLYGON ((-87.62678255198607 41.86950570321162, -87.62685534747899 41.86950445925766, -87.62685360870653 41.86944760513311, -87.62678081207308 41.86944884909211, -87.62677749097415 41.86934028647832, -87.6272866700775 41.86933158268434, -87.62729338964988 41.8695511446993, -87.62721138699536 41.86955254639605, -87.62720964854832 41.86949575802576, -87.62713880124466 41.86949696904872, -87.62714053842409 41.86955375742709, -87.62691019049568 41.86955769549436, -87.6267842088057 41.86955984853461, -87.62678255198607 41.86950570321162))"
140,68,12.7,41.869568,-87.627563,1066,334139.0,999.0,200.52,39.0,180.63,19.89,Complex,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,24.7140911927,38.1557453098,"POLYGON ((-87.62678081207308 41.86944884909211, -87.62685360870653 41.86944760513311, -87.62685534747899 41.86950445925766, -87.62678255198607 41.86950570321162, -87.62678081207308 41.86944884909211))"
141,70,19.58,41.867798,-87.638947,365,247146.0,42.0,202.5,31.0,178.4,24.1,Pitched,12845.267,19.58,1.43,28.45,180.19,170.81,75.7,1.21,29.3647333313,50.4044282799,"POLYGON ((-87.63812157333751 41.86893797085541, -87.63818749906642 41.86893656424304, -87.63819066379334 41.86901947147341, -87.63812473797935 41.86902087808814, -87.63812157333751 41.86893797085541))"
142,70,19.58,41.867798,-87.638947,628,325322.0,41.0,199.66,2.0,178.5,21.16,Flat,12845.267,19.58,1.43,28.45,180.19,170.81,75.7,1.21,580.254834336,12105.4352999,"POLYGON ((-87.63812473797935 41.86902087808814, -87.63819066379334 41.86901947147341, -87.63818749906642 41.86893656424304, -87.63812157333751 41.86893797085541, -87.63809135477328 41.86814640390126, -87.63814729728378 41.86808038386078, -87.63893839649664 41.86806350820758, -87.63900235172775 41.8681068056994, -87.63903124647813 41.86886341712731, -87.63892032415905 41.8688873493092, -87.63893213272021 41.8689179265893, -87.63879440249315 41.86894764245132, -87.63846295243529 41.86901915505968, -87.63880265411539 41.86907700822612, -87.63900648289136 41.8691117205004, -87.6390087324134 41.86917062333925, -87.63904295073142 41.86916989343256, -87.63905760055212 41.86955347685006, -87.63900653339171 41.86960112782088, -87.63867448587196 41.86960821233809, -87.63867216811688 41.86954751031539, -87.63852660776905 41.86955061554372, -87.63852892538659 41.8696113175703, -87.63821599233488 41.86961799275734, -87.63814561849546 41.86956781417572, -87.63812473797935 41.86902087808814))"
143,71,23.84,41.869578999999995,-87.625275,107,235203.0,42.0,211.57,39.0,181.08,30.49,Pitched,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,20.8541232831,26.3002835686,"POLYGON ((-87.62507325757616 41.86966144024161, -87.62507495042409 41.869716833738, -87.62502344964635 41.86971771298582, -87.62502175684286 41.86966231948837, -87.62507325757616 41.86966144024161))"
144,71,23.84,41.869578999999995,-87.625275,189,236104.0,41.0,207.68,1.0,181.07,26.61,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,71.2013231559,307.187638364,"POLYGON ((-87.62507325757616 41.86966144024161, -87.62506919517949 41.86952856411726, -87.62524617992101 41.86952554174764, -87.62525193567568 41.86971381045547, -87.62507495042409 41.869716833738, -87.62507325757616 41.86966144024161))"
145,71,23.84,41.869578999999995,-87.625275,1007,334012.0,41.0,186.47,12.0,180.64,5.83,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,15.2204452938,14.2112598187,"POLYGON ((-87.62524166339402 41.86937775461692, -87.62518959302547 41.86937864424534, -87.62518868760554 41.86934904017451, -87.6252407579501 41.86934815054663, -87.62524166339402 41.86937775461692))"
146,71,23.84,41.869578999999995,-87.625275,1019,334030.0,41.0,205.95,2.0,180.81,25.14,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,145.459515379,662.858333851,"POLYGON ((-87.62493450712456 41.8695240173114, -87.62498612822523 41.86952313564748, -87.62498465680525 41.86947500223602, -87.62493303574328 41.86947588389902, -87.62486957867822 41.86947696774293, -87.62486949040714 41.86947409054624, -87.62486713832131 41.8693971383189, -87.62486674197872 41.86938415715323, -87.62518959302547 41.86937864424534, -87.62524166339402 41.86937775461692, -87.62524205981239 41.86939073578078, -87.62524617992101 41.86952554174764, -87.62506919517949 41.86952856411726, -87.62507325757616 41.86966144024161, -87.62502175684286 41.86966231948837, -87.62502344964635 41.86971771298582, -87.62495221891103 41.86971892925029, -87.62494047322748 41.8697191300696, -87.62493450712456 41.8695240173114))"
147,71,23.84,41.869578999999995,-87.625275,1068,334141.0,41.0,211.69,3.0,180.89,30.8,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,21.2265684484,28.158933041,"POLYGON ((-87.62486957867822 41.86947696774293, -87.62493303574328 41.86947588389902, -87.62493450712456 41.8695240173114, -87.62487104879821 41.86952510026239, -87.62486957867822 41.86947696774293))"
148,71,23.84,41.869578999999995,-87.625275,1070,334143.0,999.0,209.22,29.0,180.92,28.3,Complex,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,19.2615332874,22.9067364344,"POLYGON ((-87.62493303574328 41.86947588389902, -87.62498465680525 41.86947500223602, -87.62498612822523 41.86952313564748, -87.62493450712456 41.8695240173114, -87.62493303574328 41.86947588389902))"
149,71,23.84,41.869578999999995,-87.625275,1269,335164.0,41.0,196.01,14.0,180.91,15.1,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,53.8737272338,114.147868362,"POLYGON ((-87.62487104879821 41.86952510026239, -87.62493450712456 41.8695240173114, -87.62494047322748 41.8697191300696, -87.62487701351218 41.86972021393236, -87.62487140235692 41.86953665768326, -87.62487104879821 41.86952510026239))"
150,72,7.37,41.869568,-87.627563,197,237229.0,41.0,189.03,2.0,180.66,8.37,Flat,123.483,7.37,0.38,8.37,180.83,15.88,7.78,1.5,47.3126102373,123.482524548,"POLYGON ((-87.62767104906631 41.86956587898119, -87.62776469130048 41.86956353426785, -87.62777109916441 41.86970648419723, -87.62767745672195 41.86970882891718, -87.62767104906631 41.86956587898119))"
151,74,24.99,41.869578999999995,-87.625275,15,231555.0,42.0,215.41,20.0,181.05,34.36,Pitched,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,66.1634115307,245.084250054,"POLYGON ((-87.62444096701681 41.86960774157127, -87.6247045571773 41.86960324124701, -87.62470763947672 41.86970409628796, -87.62444404890228 41.86970859662203, -87.62444096701681 41.86960774157127))"
152,74,24.99,41.869578999999995,-87.625275,68,234448.0,41.0,218.64,14.0,181.2,37.44,Flat,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,18.3867260118,18.7871716328,"POLYGON ((-87.62477899499731 41.8697550478598, -87.62470518351662 41.86975630863395, -87.62470433990909 41.86972869923383, -87.62477815136681 41.86972743936107, -87.62477899499731 41.8697550478598))"
153,74,24.99,41.869578999999995,-87.625275,100,234495.0,41.0,216.39,14.0,181.0,35.39,Flat,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,36.726648352,78.0891062593,"POLYGON ((-87.62476285486571 41.86954860763028, -87.62484343350563 41.8695472316419, -87.62484664671587 41.86965235069371, -87.62476606794404 41.8696537266852, -87.62476285486571 41.86954860763028))"
154,74,24.99,41.869578999999995,-87.625275,655,328934.0,999.0,196.04,18.0,180.77,15.27,Complex,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,113.846286621,552.357158618,"POLYGON ((-87.62484233004203 41.86951113383316, -87.62464852141424 41.86951444343589, -87.62454756833924 41.86951616696793, -87.62443245638127 41.86951813222089, -87.62443355962324 41.86955423093573, -87.62436789164411 41.86955535174271, -87.62436338845932 41.86940798512112, -87.62436309125462 41.86939824676832, -87.6248386319528 41.86939012669509, -87.6248389292296 41.86939986504617, -87.62484233004203 41.86951113383316))"
155,74,24.99,41.869578999999995,-87.625275,999,333981.0,42.0,200.39,25.0,180.95,19.44,Pitched,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,27.1292854477,38.3090467238,"POLYGON ((-87.62454756833924 41.86951616696793, -87.62454867164593 41.86955226568124, -87.62443355962324 41.86955423093573, -87.62443245638127 41.86951813222089, -87.62454756833924 41.86951616696793))"
156,74,24.99,41.869578999999995,-87.625275,1071,334144.0,42.0,200.49,40.0,180.89,19.6,Pitched,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,40.1944688186,64.4975003159,"POLYGON ((-87.62464852141424 41.86951444343589, -87.62484233004203 41.86951113383316, -87.62484343350563 41.8695472316419, -87.62476285486571 41.86954860763028, -87.62464962476889 41.86955054124721, -87.62464852141424 41.86951444343589))"
157,74,24.99,41.869578999999995,-87.625275,2366,365222.0,41.0,211.53,13.0,180.92,30.61,Flat,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,197.137471584,563.822506603,"POLYGON ((-87.62436789164411 41.86955535174271, -87.62443355962324 41.86955423093573, -87.62454867164593 41.86955226568124, -87.62464962476889 41.86955054124721, -87.62476285486571 41.86954860763028, -87.62476606794404 41.8696537266852, -87.62484664671587 41.86965235069371, -87.62484974867111 41.86975383970241, -87.62477899499731 41.8697550478598, -87.62477815136681 41.86972743936107, -87.62470433990909 41.86972869923383, -87.62470518351662 41.86975630863395, -87.62437420527091 41.86976195893883, -87.62436789164411 41.86955535174271), (-87.62444096701681 41.86960774157127, -87.62444404890228 41.86970859662203, -87.62470763947672 41.86970409628796, -87.6247045571773 41.86960324124701, -87.62444096701681 41.86960774157127))"
158,75,5.34,41.86956,-87.62982199999999,1010,334021.0,41.0,186.58,7.0,180.58,6.0,Flat,1587.674,5.34,-0.04,12.81,180.79,53.19,52.37,0.62,335.510625398,1587.6738783,"POLYGON ((-87.62924817496496 41.86978407705516, -87.62924673283854 41.8697247588846, -87.62919967143318 41.86972539861733, -87.62920014775651 41.86974497141392, -87.62889064477265 41.86974917596306, -87.62889016854369 41.86972960316455, -87.62886743543976 41.86972991138734, -87.62886865894839 41.86978023835864, -87.62875971758518 41.86978171841589, -87.62875553056831 41.8696094842465, -87.62886447164809 41.8696080050958, -87.62886566854952 41.86965721626979, -87.62924496432272 41.869652064683, -87.62923958828377 41.86943096877917, -87.62885516118884 41.86943619077617, -87.6288561202353 41.869475642571, -87.62875271805858 41.86947704725597, -87.62875175906683 41.86943759455924, -87.62875055833099 41.86938822848586, -87.6287499202851 41.86936197531742, -87.62890646908555 41.86935984908474, -87.62890557447834 41.86932304043636, -87.62919099423932 41.86931916324204, -87.62919188901014 41.86935597188707, -87.62923775012358 41.86935534864178, -87.62923652668213 41.86930505679731, -87.6293792738616 41.86930311722283, -87.62939092321834 41.86978213835971, -87.62924817496496 41.86978407705516))"
159,76,5.21,41.86956,-87.62982199999999,1261,335156.0,41.0,186.51,3.0,180.63,5.88,Flat,1402.031,5.21,-0.01,8.15,180.82,54.78,51.85,0.62,293.817861117,1402.03148072,"POLYGON ((-87.62953278449937 41.86979492958629, -87.62952079029978 41.86930162555103, -87.62962487169995 41.86930021104696, -87.62962573405078 41.86933565533399, -87.63014632561689 41.86932858128248, -87.63015408026561 41.869647384405, -87.63002591582257 41.86964912605551, -87.63002019726218 41.86941403818577, -87.62966206605699 41.86941890426425, -87.6296678258275 41.86965574645456, -87.62983857082897 41.86965342762939, -87.62984064995233 41.8697389133937, -87.62966264071014 41.86974133329652, -87.6296638999282 41.869793147988, -87.62953278449937 41.86979492958629))"
160,77,7.44,41.869568,-87.627563,221,237448.0,41.0,189.02,4.0,180.74,8.28,Flat,128.633,7.44,1.42,8.49,180.82,15.99,8.09,0.6,48.0530865822,128.63328662,"POLYGON ((-87.62767544006766 41.86973302593339, -87.6277729584327 41.86973160214095, -87.62777571556254 41.86987545649067, -87.62767919939891 41.86987686490075, -87.62767544006766 41.86973302593339))"
161,78,15.6,41.869564000000004,-87.628693,35,232254.0,42.0,196.01,46.0,181.92,14.09,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,20.9433660295,23.7463316812,"POLYGON ((-87.62828572720434 41.86975520064281, -87.62832573408494 41.86975464041127, -87.62832734918803 41.86981903478807, -87.62828734226731 41.86981959502046, -87.62828572720434 41.86975520064281))"
162,78,15.6,41.869564000000004,-87.628693,57,234366.0,41.0,191.07,7.0,181.27,9.8,Flat,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,26.746847039,44.3209069599,"POLYGON ((-87.6281992475316 41.86982082989908, -87.62828734226731 41.86981959502046, -87.62828871182535 41.86987417691765, -87.62820061700592 41.86987541089719, -87.6281992475316 41.86982082989908))"
163,78,15.6,41.869564000000004,-87.628693,63,234427.0,42.0,193.36,20.0,181.13,12.23,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,18.7639260701,20.1276823595,"POLYGON ((-87.62828734226731 41.86981959502046, -87.62832734918803 41.86981903478807, -87.62832871877124 41.86987361578393, -87.62828871182535 41.86987417691765, -87.62828734226731 41.86981959502046))"
164,78,15.6,41.869564000000004,-87.628693,64,234428.0,42.0,198.93,51.0,182.45,16.49,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,20.3971308448,22.8393856413,"POLYGON ((-87.62828417358395 41.86969326568882, -87.62832418042595 41.86969270545808, -87.62832573408494 41.86975464041127, -87.62828572720434 41.86975520064281, -87.62828417358395 41.86969326568882))"
165,78,15.6,41.869564000000004,-87.628693,72,234452.0,41.0,190.97,13.0,181.0,9.97,Flat,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,27.7372115074,47.3222410819,"POLYGON ((-87.62832734918803 41.86981903478807, -87.62842141032064 41.86981771672565, -87.62842277998382 41.86987229771985, -87.62832871877124 41.86987361578393, -87.62832734918803 41.86981903478807))"
